x	y 
0.26683426	-0.02147858
0.5967355	0.026799643
0.6168872	0.012053137
0.8898576	0.13726969
0.8839631	0.15147397
0.8791271	0.14512517
0.87875175	0.14513423
0.87875175	0.14513423
0.877973	0.1629113
0.8776401	0.1564186
0.87770563	0.14213458
0.7083575	0.15180105
0.7083575	0.15180105
0.32956514	-0.040974397
0.29309446	-0.046591446
0.28604952	-0.040223427
0.2907531	-0.033448964
0.30385923	-0.033798732
0.30037144	-0.033047546
0.29850075	-0.028616954
0.30337736	-0.03359693
0.29919344	-0.02386085
0.29622233	-0.033504114
0.30198702	-0.021429857
0.29702386	-0.016924275
0.34832433	0.009277571
0.5345211	0.106113635
0.83035153	0.2479536
0.8126191	0.23523453
0.81930846	0.25907218
0.8071207	0.24215384
0.81717587	0.23872423
0.82208145	0.2485047
0.81375927	0.2555558
0.8157288	0.24189086
0.8126828	0.2585526
0.81408316	0.24151757
0.82297313	0.23559292
0.8161605	0.2428926
0.8250026	0.24211754
0.8219812	0.26070383
0.8313104	0.22417974
0.828255	0.2430746
0.81730187	0.26554817
0.8092858	0.25727338
0.8225097	0.16543208
0.83718354	0.15067948
0.8236296	0.16709222
0.8283741	0.17229137
0.8305384	0.1607409
0.82188857	0.15611674
0.8234185	0.2058138
0.8217145	0.15011668
0.82903403	0.1572045
0.8230134	0.17172569
0.81810373	0.15822676
0.8241011	0.1386757
0.828025	0.16731575
0.828025	0.16731575
0.81352174	0.1512359
0.8164248	0.15355968
0.81975347	0.13973214
0.8347128	0.17257942
0.8252563	0.15398443
0.8371949	0.14301205
0.8339922	0.16101395
0.8226126	0.15994555
0.84384453	0.08833524
0.8674461	0.051716797
0.87215203	0.055519715
0.8725817	0.04350596
0.8768134	0.051907185
0.87893075	0.03522077
0.8781072	0.053518996
0.8676871	0.06814772
0.8707394	0.059675425
0.8736006	0.060226176
0.86971366	0.057401635
0.8613303	0.07368391
0.8740865	0.046621107
0.8725683	0.064681485
0.87455887	0.0645901
0.8711275	0.042730175
0.8723608	0.07232379
0.87195045	0.05196193
0.8783797	0.09567256
0.8787886	0.049814064
0.8684724	0.03360216
0.7520101	0.09374137
0.6229194	0.18430933
0.60338414	0.20973702
0.5957089	0.17805944
0.6003725	0.20400679
0.6027525	0.2167026
0.6018384	0.20255269
0.61043787	0.21119384
0.5995686	0.21265298
0.58720857	0.22261989
0.598461	0.22170646
0.59616303	0.19541706
0.59616303	0.19541706
0.59912145	0.22165596
0.5922335	0.1966043
0.60128176	0.2087471
0.5878933	0.2123426
0.60273385	0.20406878
0.6130456	0.21879154
0.59699935	0.20029612
0.59699935	0.20029612
0.6190242	0.18868747
0.61007714	0.20595635
0.6693245	0.16287638
0.6693245	0.16287638
0.87293005	0.13040316
0.87400395	0.15529841
0.87776846	0.15421729
0.8697063	0.16676924
0.8681022	0.16835597
0.8650038	0.15682861
0.8650038	0.15682861
0.8659488	0.17335768
0.85267735	0.16140021
0.86029124	0.1624065
0.87245077	0.16306344
0.8612976	0.16044655
0.8635629	0.16678561
0.86403203	0.15987922
0.87735605	0.16000211
0.8688926	0.17167087
0.8711511	0.169818
0.8704441	0.1700261
0.8701181	0.17058869
0.8769514	0.17684942
0.8677051	0.1794389
0.87091535	0.15940638
0.8752436	0.18393636
0.8769912	0.17277241
0.86720246	0.18503177
0.857877	0.15231176
0.87854546	0.10507741
0.89853376	0.10864732
0.8955479	0.097453356
0.8969771	0.11153911
0.89072776	0.066223964
0.893295	0.09263554
0.90038717	0.066025674
0.8926372	0.099882916
0.8999314	0.10834412
0.8971627	0.09836515
0.9019792	0.07997665
0.89776415	0.11583302
0.8875147	0.09192912
0.88387376	0.13552971
0.89177144	0.08833183
0.9019278	0.05767506
0.9033039	0.06446729
0.90844727	0.100304954
0.8918443	0.09576674
0.894294	0.1120381
0.89208734	0.10933734
0.9050538	0.07969651
0.8959604	0.10076431
0.8211454	0.032678418
0.7252398	-0.026123304
0.68938273	-0.055672787
0.6820829	-0.035509944
0.68999296	-0.023753962
0.68740344	-0.049867906
0.68740344	-0.049867906
0.6961076	-0.040429205
0.6944044	-0.03234094
0.68575096	-0.024057878
0.68906516	-0.036468852
0.691399	-0.05452091
0.69082165	-0.05505695
0.6940295	-0.015467748
0.6971549	-0.067208424
0.6794387	-0.118791245
0.69604987	-0.09033393
0.6854201	-0.05026049
0.69537324	-0.031408284
0.6697596	0.0013474808
0.62942433	0.0776699
0.6279504	0.117814854
0.62213653	0.09167508
0.6281262	0.09327354
0.6234699	0.11640517
0.6167365	0.11955305
0.6211343	0.112808935
0.6235481	0.12520707
0.61258876	0.09441672
0.6192365	0.087883756
0.62249684	0.09096957
0.6207498	0.11022095
0.62247294	0.10096951
0.6076619	0.08343295
0.6160339	0.09954771
0.6160339	0.09954771
0.61537725	0.10688447
0.61800814	0.09431823
0.62514395	0.122901335
0.62514395	0.122901335
0.6512351	0.053090613
0.65556204	0.056003988
0.65864897	0.04741123
0.6437784	0.014920892
0.66077214	0.0611425
0.64956146	0.06441767
0.65981793	0.0550761
0.6539971	0.08425444
0.6470195	0.06454703
0.65145546	0.04479292
0.6596823	0.039498344
0.6596823	0.039498344
0.65510654	0.058727343
0.65072376	0.06306498
0.667175	0.064989775
0.66267586	0.0911577
0.66267586	0.0911577
0.6524603	0.055492453
0.65391123	0.06817069
0.6584188	0.09097093
0.6584324	0.07514662
0.6551145	0.068282604
0.63874274	0.07187372
0.63874274	0.07187372
0.66242397	0.07599164
0.540274	0.12058176
0.4457164	0.1196029
0.46188495	0.16888425
0.4581232	0.18433787
0.4610826	0.1504375
0.45305213	0.15754011
0.45321444	0.18130682
0.45171848	0.16553557
0.4695066	0.1570301
0.45183325	0.16099134
0.4545647	0.17013371
0.44812965	0.1427215
0.47127235	0.1601687
0.46310672	0.16481674
0.4656302	0.15076435
0.45398083	0.16567579
0.4757318	0.14228801
0.45856133	0.17806436
0.46294644	0.15371689
0.54959124	0.08021505
0.66486824	0.055304408
0.65220815	0.060666468
0.6532967	0.061520275
0.65387183	0.07401409
0.6680117	0.08136519
0.6431527	0.07153445
0.6578876	0.053696603
0.65188885	0.050344173
0.6785613	0.061204843
0.6785613	0.061204843
0.6592539	0.050458476
0.65904707	0.06302431
0.6653267	0.07982611
0.66539496	0.06769619
0.6591623	0.07983474
0.6638539	0.06440251
0.66031575	0.048978794
0.6559773	0.07212081
0.6559773	0.07212081
0.6402477	0.0644484
0.6467335	0.07076242
0.65258193	0.054865904
0.8421234	0.09050367
0.9115657	0.08186297
0.907445	0.05859572
0.9154839	0.06910349
0.9047505	0.063297965
0.90927464	0.07479705
0.9002996	0.07250138
0.9278819	0.04731181
0.90866417	0.086163
0.91867185	0.039517403
0.9131408	0.06657883
0.89766943	0.05773703
0.9132589	0.065001085
0.9075946	0.0686543
0.903227	0.03892119
0.9046761	0.05661379
0.9083893	0.07958703
0.90121603	0.057778154
0.9044057	0.064707145
0.909515	0.07441861
0.9045001	0.076824516
0.9158154	0.056203082
0.9158154	0.056203082
0.919456	0.030018516
0.91495657	0.047002416
0.90386385	0.075079314
0.9177511	0.06016983
0.9041065	0.07011791
0.90471935	0.062476657
0.9166218	0.05649563
0.9086299	0.050998747
0.91343194	0.038936317
0.9155503	0.03867469
0.90678066	0.08111202
0.9058962	0.058030356
0.8993976	0.06766988
0.90205467	0.068816476
0.8947257	0.06785631
0.9026865	0.07526116
0.9052556	0.06909976
0.9058945	0.07247694
0.9008634	0.08117502
0.9044549	0.07126254
0.9061372	0.07673806
0.90225804	0.07176002
0.9202957	0.032506417
0.9202957	0.032506417
0.90722364	0.07025054
0.91344696	0.04917301
0.8976082	0.075745866
0.90384114	0.06643492
0.9015539	0.06407308
0.8974702	0.07039521
0.90880626	0.052399125
0.9021681	0.07117852
0.9051626	0.06907996
0.90686446	0.0749917
0.89936626	0.059515852
0.89936626	0.059515852
0.9107308	0.035914652
0.91632783	0.02944046
0.89551127	0.06875381
0.9149878	0.07036474
0.92346156	0.04160212
0.90898246	0.022770396
0.90692145	0.0730341
0.906079	0.08074604
0.906079	0.08074604
0.9048365	0.12720789
0.9124956	0.037348792
0.90041214	0.06719782
0.90497303	0.07350587
0.89974785	0.06264061
0.9177457	0.03478418
0.9177457	0.03478418
0.91984457	0.021109166
0.9088967	0.059240248
0.910294	0.0642261
0.906627	0.06328565
0.9019181	0.071631916
0.904736	0.071112595
0.9096108	0.058508087
0.91818523	0.047256317
0.91818523	0.047256317
0.9049104	0.07479209
0.9049104	0.07479209
0.9147585	0.073841505
0.91621506	0.06649746
0.921345	0.05062167
0.90576273	0.077526376
0.90330595	0.0867174
0.90330595	0.0867174
0.9019294	0.052741606
0.914544	0.067216925
0.9057758	0.08303204
0.9238879	0.037312586
0.9046467	0.073687546
0.91547596	0.01418146
0.91420686	0.054650217
0.90731174	0.0748091
0.9062934	0.07009857
0.90716046	0.06743318
0.90716046	0.06743318
0.9110658	0.06464167
0.9113251	0.034666445
0.9086373	0.061826635
0.90541726	0.06254685
0.83461094	0.08116841
0.6845034	0.062499367
0.5786161	0.092308
0.5786161	0.092308
0.5684859	0.071720734
0.5596266	0.09303857
0.55685335	0.090010665
0.55385524	0.10602414
0.5603187	0.10696457
0.5603187	0.10696457
0.5562395	0.0977636
0.56643045	0.09146238
0.5712179	0.110874906
0.5591951	0.10768662
0.56216836	0.11178361
0.57665414	0.10936118
0.5565395	0.08921166
0.49258992	0.058906868
0.48745376	0.06456173
0.49085936	0.05986841
0.4857686	0.07400829
0.4826558	0.07258822
0.49132547	0.07669692
0.48745206	0.08130167
0.49612314	0.079275
0.49652722	0.07315629
0.4939129	0.056200102
0.48451135	0.07987427
0.4842562	0.072808504
0.488995	0.073226914
0.47001463	0.042640533
0.49970013	0.06619554
0.40771472	0.038183797
0.24169971	0.04277733
0.14290105	0.04202228
0.1386561	0.026462127
0.13962555	0.03190541
0.15019147	0.044878412
0.14616133	0.032281194
0.14178067	0.043913748
0.14439042	0.04687035
0.15107128	0.037195735
0.15690008	0.01601283
0.1448556	-0.0057032662
0.13630049	0.027543426
0.14305525	0.027107397
0.14346321	0.03819328
0.14569674	0.045026734
0.14321376	0.023823213
0.135491	0.02082581
0.14105684	0.03926029
0.14506455	0.055229332
0.14620975	0.027763657
0.15485255	0.035680383
0.1441972	0.030919172
0.13663478	0.028640574
0.1477855	0.053430922
0.14680432	0.06236948
0.14722747	0.028821906
0.13773328	0.030478401
0.13552907	0.020854019
0.1450957	0.043094918
0.14680271	0.03526206
0.14284512	0.04333237
0.14284512	0.04333237
0.14433932	0.04696107
0.13958545	0.04158667
0.14385359	0.061840754
0.1378486	0.033760097
0.14439292	0.029928142
0.14511496	0.058551118
0.14511496	0.058551118
0.14937016	0.050660316
0.14626998	0.04013278
0.14626998	0.04013278
0.1466379	0.03672779
0.15032066	0.04202828
0.1441555	0.050119307
0.14364271	0.036800288
0.14071949	0.046677735
0.15125461	0.032003295
0.14653918	0.042875048
0.15256675	0.04093748
0.15235867	0.056791823
0.14518946	0.048652183
0.14898048	0.05124508
0.14703566	0.06813577
0.15936357	0.07124522
0.14679033	0.03574472
0.14641376	0.042304616
0.14740995	0.037031773
0.14123935	0.048628304
0.14798135	0.044975203
0.1482295	0.050840292
0.14665256	0.04959361
0.14592232	0.053375155
0.15003222	0.05352273
0.14482614	0.057193264
0.15437478	0.052522786
0.15134138	0.0469095
0.14991657	0.06561745
0.15352246	0.04675692
0.15352246	0.04675692
0.15920581	0.059039447
0.14497244	0.05535285
0.1498506	0.09010002
0.1498506	0.09010002
0.15274692	0.0628929
0.15274692	0.0628929
0.37025163	0.058543574
0.37025163	0.058543574
0.36258003	0.05135666
0.35110012	0.063107304
0.3624486	0.09332265
0.3785487	0.084466584
0.3666392	0.08325294
0.36203697	0.07206065
0.37413526	0.068200454
0.36906192	0.09600049
0.36667967	0.08546654
0.3746399	0.098177075
0.37201673	0.092528515
0.37354958	0.10658457
0.3677352	0.089691445
0.41532227	0.04720893
0.41532227	0.04720893
0.49978355	0.051528975
0.5161648	0.06735232
0.5161648	0.06735232
0.51417536	0.030765748
0.50370187	0.052252818
0.5103484	0.059970222
0.4945212	0.049820475
0.5044784	0.0748549
0.51774806	0.06609514
0.5036155	0.044177324
0.5098222	0.053821515
0.5112075	0.052499656
0.5112075	0.052499656
0.5169643	0.04004683
0.51733327	0.066479184
0.5021526	0.068950705
0.51478773	0.081070796
0.51195425	0.06062662
0.5060408	0.0676434
0.5060408	0.0676434
0.5106473	0.05926064
0.5106473	0.05926064
0.51346177	0.0808758
0.4993805	0.0764216
0.5061269	0.0710971
0.5262694	0.07470613
0.49853098	0.05190718
0.49853098	0.05190718
0.517793	0.057954445
0.5212149	0.05767162
0.50691694	0.05035668
0.51991063	0.076204635
0.51269346	0.06477947
0.51305	0.044316303
0.518072	0.06813933
0.5056233	0.066353984
0.5153889	0.07061717
0.5092425	0.06208099
0.51038265	0.07589416
0.51228046	0.051533848
0.5070347	0.064089425
0.46508014	0.068827234
0.327051	0.05872437
0.22934666	0.055766586
0.23731026	0.05860986
0.23185253	0.06431086
0.23185253	0.06431086
0.24436781	0.04509268
0.20984067	0.061012056
0.20984067	0.061012056
0.23494992	0.038482785
0.22940877	0.055907413
0.22843087	0.061623015
0.23335542	0.05149785
0.2297681	0.055983905
0.2297681	0.055983905
0.24055713	0.051836472
0.23877604	0.05774627
0.24035627	0.054494087
0.23693962	0.057800796
0.23625134	0.06277654
0.24123527	0.05850869
0.24188864	0.059833545
0.24381305	0.06449454
0.23576203	0.052981563
0.2379714	0.061914984
0.2379714	0.061914984
0.2379714	0.061914984
0.23993579	0.045994114
0.24488716	0.056874085
0.24488716	0.056874085
0.23922382	0.074341364
0.23935466	0.06704342
0.24246614	0.05443829
0.24081151	0.050321538
0.23760015	0.051706202
0.23353209	0.059785143
0.23896289	0.056273334
0.23820348	0.048453957
0.23136193	0.04554496
0.240424	0.05380767
0.22892858	0.049420048
0.2393716	0.050774887
0.23328301	0.053418912
0.24357341	0.068145886
0.22904353	0.06929292
0.23254706	0.05283102
0.23432823	0.068132326
0.2380464	0.040550802
0.23805244	0.04344081
0.24647973	0.054490443
0.24647973	0.054490443
0.2522477	0.08627727
0.29512122	0.17678021
0.29353815	0.2371505
0.26507422	0.2309508
0.2883367	0.2235268
0.2841432	0.22129571
0.2841432	0.22129571
0.29914537	0.22750644
0.29548705	0.22154999
0.28640115	0.24401432
0.2904587	0.22138959
0.28821835	0.22513627
0.29513913	0.23365626
0.2834614	0.21295504
0.2834614	0.21295504
0.2867108	0.22985972
0.29870808	0.2122487
0.29870808	0.2122487
0.29229474	0.2308427
0.29229474	0.2308427
0.29701874	0.21880259
0.31519118	0.23071003
0.36483636	0.14612314
0.48053035	0.11020056
0.5165403	0.11395052
0.5232934	0.13332632
0.5185283	0.119123034
0.5200071	0.1111433
0.51942074	0.107882336
0.5183873	0.12395227
0.51809424	0.10066906
0.5294414	0.121624924
0.5363156	0.13118334
0.5107328	0.10436475
0.5107328	0.10436475
0.52426046	0.1195573
0.53425264	0.11350547
0.5221776	0.12125013
0.5320464	0.08588801
0.52041346	0.1349403
0.5188076	0.12402074
0.5274769	0.12552524
0.5274769	0.12552524
0.538351	0.11926276
0.5176075	0.118386075
0.52886856	0.12578623
0.52601796	0.122516826
0.54023236	0.12490119
0.5313681	0.104563035
0.5889627	0.006332036
0.64704096	0.047784682
0.63242865	0.03965644
0.65201205	0.036406536
0.64611036	0.03092692
0.6473117	0.03391814
0.6473117	0.03391814
0.63613343	0.019618494
0.64713496	0.040591657
0.64713496	0.040591657
0.6529625	0.04774068
0.684431	0.007669759
0.6466691	0.018082293
0.6404235	-0.016059907
0.55466306	0.030489666
0.34446296	0.039053887
0.25565335	0.0061631403
0.2853952	-0.0049778945
0.27553147	0.019991875
0.27553147	0.019991875
0.28178915	0.015358838
0.28621292	-0.012149849
0.29345357	0.010414489
0.2913877	-0.0068253754
0.2756177	-7.238131E-4
0.2946944	0.01684056
0.2883888	-0.0065568
0.2883888	-0.0065568
0.2824756	0.021810174
0.2819046	-0.0013798464
0.2818659	0.0041748094
0.28745365	0.026059397
0.30974165	0.039881058
0.33282188	0.038050734
0.33523527	0.03716572
0.32061106	0.024651924
0.32458347	0.02494131
0.32561758	0.041149285
0.32560095	0.044606086
0.32513824	0.02690581
0.32346	0.049977757
0.32354996	0.059797302
0.32126597	0.039302036
0.32134572	0.04139698
0.31656224	0.049076427
0.31656224	0.049076427
0.32710475	0.03921006
0.32257614	0.052732307
0.3188384	0.036836024
0.3215933	0.023798188
0.33019903	0.055432606
0.3219025	0.034029778
0.3125328	0.05185218
0.3230076	0.05220103
0.33123538	0.0539006
0.32380947	0.046237998
0.32380947	0.046237998
0.33252418	0.02138062
0.32526952	0.065133125
0.32719472	0.2425801
0.3170949	0.5434315
0.3204748	0.822366
0.29968974	0.9926995
0.28051183	1.0338068
0.28840253	1.0818492
0.29840624	1.0239565
0.29467773	1.0408574
0.3012625	1.0230633
0.2887138	1.0231265
0.24928808	1.0057087
0.2749636	1.0186094
0.29031286	1.0218482
0.2538408	0.9965201
0.2590029	1.0018278
0.30096203	1.0606263
0.32370794	1.0692614
0.29219308	1.0653136
0.2913151	1.0327469
0.27951053	1.0500735
0.26470944	1.0621845
0.25024948	0.9688072
0.30299053	1.0575641
0.30299053	1.0575641
0.3182791	1.0646077
0.26835322	1.0065558
0.27911037	1.0611745
0.29954398	1.0326161
0.29954398	1.0326161
0.30000836	1.0425558
0.30000836	1.0425558
0.29432043	1.0864055
0.2825435	1.0333505
0.29835096	1.0239905
0.28721318	1.0142033
0.2845371	1.0292506
0.29045907	1.038481
0.29815665	1.0344319
0.27809897	1.0182053
0.2754689	1.0139961
0.27362236	1.0137544
0.22839843	1.0161917
0.1919553	1.1213692
0.18456155	1.1487931
0.22029579	1.2210132
0.1962103	1.148336
0.1843785	1.1378855
0.17783147	1.1174545
0.19677846	1.1738949
0.17537594	1.1198252
0.16712663	1.1241909
0.19720465	1.152457
0.20460585	1.1877283
0.17810325	1.1402292
0.1908693	1.155348
0.19603065	1.1676874
0.18095224	1.1486335
0.21579841	1.1933187
0.16807404	1.1464052
0.16683513	1.105906
0.16683513	1.105906
0.18334185	1.1372674
0.18021366	1.1419164
0.20294717	1.1274501
0.2940047	1.0329127
0.38061816	0.9994858
0.37074944	1.010233
0.37101272	1.054221
0.37247482	1.0656818
0.32763967	0.95787895
0.35850763	1.0034323
0.3426795	0.99684066
0.3695741	1.0997196
0.34187666	0.9820375
0.35717183	0.9987704
0.3597804	1.009976
0.3585192	1.0376632
0.3400867	1.0266063
0.3395648	0.9985325
0.36445853	1.0328369
0.45929927	1.070984
0.62018025	0.99739516
0.71466357	1.0611883
0.68004817	1.0897834
0.6818868	1.0727476
0.6685976	1.1106498
0.66350466	1.0769334
0.63397664	1.0921553
0.66318953	1.0605162
0.64745796	1.0862134
0.6695229	1.1018823
0.6862128	1.0544623
0.65282774	1.0656129
0.66415256	1.0720829
0.66214865	1.0444959
0.66214865	1.0444959
0.6720903	1.0185581
0.6720903	1.0185581
0.6707796	1.0393723
0.6707796	1.0393723
0.725492	0.9208335
0.66946363	1.0729009
0.6652389	1.0821667
0.6777901	1.0864744
0.6777901	1.0864744
0.6709316	1.1292971
0.6784318	1.1254076
0.6845904	1.0406883
0.6845904	1.0406883
0.679003	0.98559445
0.69210494	1.0195689
0.69210494	1.0195689
0.6777911	1.0725574
0.6777911	1.0725574
0.670036	1.0914701
0.7021421	1.1737415
0.71264887	1.0761805
0.741522	1.0590632
0.7204721	1.0880151
0.71873045	1.0904129
0.73584193	1.0571698
0.7276485	1.0834619
0.73709077	1.0482419
0.7183266	1.1134658
0.7304297	1.0590036
0.7151372	1.1001416
0.7228925	1.0709728
0.71197605	1.1026832
0.69544894	1.1578976
0.7118973	1.0973823
0.7014407	1.1405457
0.71793467	1.1364472
0.7080991	1.0054682
0.6693492	0.8821445
0.6460821	0.6009196
0.6460821	0.6009196
0.60019666	0.4012823
0.58656114	0.33964926
0.57476157	0.23515217
0.56585896	0.17997123
0.5633386	0.17948206
0.56877345	0.14533754
0.5670914	0.16597454
0.55565256	0.15182686
0.56763464	0.15517336
0.5620137	0.14958498
0.5678954	0.14212061
0.5399099	-0.018844059
0.5527457	-0.12437178
0.5425412	-0.08698584
0.5468876	-0.086670294
0.5532044	-0.085723095
0.54618794	-0.09833486
0.55591744	-0.10360374
0.54526067	-0.09590261
0.5459268	-0.116191566
0.54986286	-0.09364908
0.5613833	-0.11943184
0.5440829	-0.11625571
0.54266465	-0.12512408
0.55848575	-0.09691063
0.5382169	-0.1185831
0.54226923	-0.10219493
0.55282015	-0.09842005
0.5489488	-0.08955453
0.4262318	-0.21227424
0.31921902	-0.25876674
0.2934493	-0.28745475
0.29551727	-0.2784123
0.2980392	-0.26679432
0.30090436	-0.27498972
0.29742032	-0.27302596
0.30004454	-0.29035455
0.273829	-0.3913552
0.3032947	-0.28187427
0.28739896	-0.2713561
0.29303178	-0.3340661
0.30379558	-0.28345835
0.268411	-0.2715932
0.10636645	-0.33051696
0.012351881	-0.5000155
0.013774023	-0.44268796
0.011632598	-0.50990635
0.01427033	-0.48200125
0.004861951	-0.5042231
0.017830614	-0.43467623
0.053014982	-0.35111696
0.0101086395	-0.4781268
0.07600006	-0.30844462
0.08183132	-0.27828726
0.048562616	-0.37742916
0.073102385	-0.29408064
0.013945604	-0.5299576
0.017684862	-0.46293646
0.008340607	-0.51792157
0.062355313	-0.31749088
0.062355313	-0.31749088
0.036792684	-0.4451587
0.049708925	-0.30711848
0.049708925	-0.30711848
0.11071671	-0.2179478
0.27438512	0.21765415
0.26162046	0.22476387
0.25226352	0.22879706
0.25864968	0.2339685
0.25386354	0.23232824
0.25499472	0.24855447
0.26092082	0.26456854
0.2618606	0.2235282
0.267296	0.23974445
0.252177	0.24074067
0.2471349	0.21336591
0.14272214	0.14856504
0.13653325	0.14498797
0.133958	0.1477571
0.133958	0.1477571
0.15589975	0.15516359
0.14589424	0.15190512
0.14955862	0.14871967
0.15509689	0.13809
0.13934927	0.14005096
0.14725132	0.14020747
0.14982319	0.14826693
0.14990102	0.15167487
0.14148712	0.14941451
0.13868316	0.13562767
0.15320426	0.1560814
0.14058734	0.16550381
0.14408638	0.14729008
0.1481399	0.13569687
0.13965519	0.12855992
0.14233367	0.15196426
0.14679922	0.14570253
0.14048348	0.14192045
0.16273278	0.1516785
0.1433109	0.16038255
0.17723785	0.14508887
0.35305056	0.18164183
0.4300579	0.2120682
0.43205494	0.22756119
0.43923452	0.23133966
0.44062117	0.21830742
0.44210798	0.216794
0.44108525	0.21228932
