x	y 
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
1.0601858	1.0238619
1.053034	1.0021539
1.053034	1.0021539
1.0598128	1.0174859
1.058429	1.0374769
1.0598071	1.013301
1.046562	1.0202113
1.0731242	1.0321941
1.0523314	1.0164738
1.0692568	1.0086528
1.0788707	1.0187509
1.0593491	1.0144303
1.0837848	1.0142149
1.0784385	1.0085758
1.0757536	1.0145158
1.0778794	1.0533187
1.0778794	1.0533187
1.0621343	1.040735
1.0621343	1.040735
1.0826526	1.0293282
1.080079	1.0459934
1.0888112	1.0385448
1.0809196	1.0403057
1.0843011	1.0365388
1.071755	1.0693717
1.0188521	0.978571
0.86925054	0.7858757
0.7598367	0.7072952
0.7664644	0.7080362
0.7420632	0.73185384
0.754515	0.68546927
0.7465552	0.737698
0.7465552	0.737698
0.7465552	0.737698
0.7465552	0.737698
0.34162906	1.2084478
0.34809715	1.1943154
0.3498714	1.1821052
0.34357446	1.2004507
0.34357446	1.2004507
0.34357446	1.2004507
0.34357446	1.2004507
0.34357446	1.2004507
0.34357446	1.2004507
0.34357446	1.2004507
0.38381833	1.2053007
0.40424567	1.1284355
0.44710612	1.0043308
0.5188572	1.0097402
0.48819348	1.0261354
0.49193224	1.0277083
0.49191839	1.0220015
0.49115685	1.012983
0.48861697	1.028845
0.48851925	1.0275146
0.48783144	1.0126371
0.48660004	1.0217153
0.48885927	1.0203013
0.48978615	1.0190864
0.48736477	1.0225317
0.48627087	1.0299996
0.48880872	1.0173079
0.4880493	1.0216138
0.48713326	1.0326982
0.48821357	1.0274754
0.4929812	1.0222579
0.49051845	1.0296423
0.4897656	1.0250602
0.48882985	1.0256267
0.4880273	1.0390863
0.48413417	1.0161021
0.48448646	1.0266141
0.48740757	1.0201235
0.4889351	1.0381715
0.48394024	1.0309861
0.4877373	1.0279275
0.4849556	1.0316902
0.48597342	1.0367862
0.534123	1.0652714
0.5458504	1.1064186
0.54814816	1.110385
0.5488701	1.1133753
0.5486566	1.1161537
0.5480396	1.1170653
0.55113876	1.1157994
0.55014956	1.1100814
0.550088	1.1096166
0.5515455	1.1114191
0.55153155	1.1184514
