1869	3325	2597
1869	3325	2597
1869	3324	2597
1869	3325	2597
1869	3325	2597
1870	3325	2597
1870	3325	2597
1869	3325	2597
1869	3325	2597
1869	3325	2597
1869	3325	2597
1869	3325	2597
1869	3325	2597
1869	3325	2597
1870	3325	2597
1870	3325	2597
1870	3324	2597
1869	3325	2597
1869	3324	2597
1870	3324	2597
1869	3324	2597
1868	3324	2597
1867	3324	2597
1866	3324	2597
1866	3323	2597
1866	3323	2597
1866	3321	2597
1865	3316	2597
1862	3308	2598
1859	3297	2598
1852	3282	2599
1843	3266	2600
1833	3249	2603
1821	3234	2608
1809	3221	2617
1798	3209	2626
1786	3199	2637
1774	3189	2647
1762	3180	2656
1749	3172	2664
1737	3164	2673
1725	3155	2682
1714	3146	2691
1704	3137	2700
1695	3129	2708
1686	3121	2716
1678	3113	2725
1670	3107	2731
1664	3100	2737
1659	3093	2743
1655	3088	2749
1652	3083	2754
1649	3078	2758
1647	3072	2764
1645	3065	2771
1644	3058	2778
1642	3049	2787
1641	3040	2795
1641	3031	2804
1641	3021	2813
1641	3010	2823
1641	2997	2835
1641	2984	2846
1641	2970	2855
1641	2957	2865
1641	2944	2874
1641	2930	2884
1641	2917	2893
1641	2904	2900
1641	2892	2906
1641	2878	2911
1641	2864	2913
1641	2849	2911
1641	2835	2910
1641	2821	2908
1641	2807	2907
1641	2795	2906
1641	2782	2904
1641	2771	2901
1641	2760	2899
1641	2749	2896
1641	2739	2894
1641	2730	2892
1640	2720	2890
1639	2711	2886
1637	2701	2879
1631	2690	2868
1626	2680	2853
1618	2671	2835
1609	2663	2813
1600	2656	2790
1590	2648	2767
1579	2638	2745
1568	2628	2723
1556	2616	2700
1546	2604	2679
1538	2593	2659
1529	2586	2643
1519	2579	2627
1511	2574	2612
1502	2569	2594
1494	2565	2577
1485	2563	2560
1476	2561	2545
1467	2558	2532
1458	2557	2518
1449	2558	2501
1441	2559	2486
1430	2559	2469
1421	2558	2455
1412	2557	2444
1403	2556	2440
1395	2556	2439
1387	2556	2437
1378	2555	2434
1369	2552	2427
1359	2550	2419
1349	2548	2410
1337	2546	2403
1326	2547	2398
1314	2547	2393
1302	2547	2386
1290	2549	2378
1278	2550	2369
1267	2550	2362
1255	2552	2354
1245	2554	2347
1232	2556	2338
1218	2557	2330
1204	2559	2323
1187	2560	2317
1169	2562	2313
1152	2563	2309
1132	2564	2307
